3443.8300   XeI      10
3877.2000   XeI      10
3950.9240   XeI     120
3967.5411   XeI     200  	 
4078.8202   XeI     100
4109.7089   XeI      60
4116.1147   XeI      80
4193.5280   XeI     150 
4383.9080   XeI     100
4500.9780   XeI    1000
4524.6805   XeI     600
4582.7472   XeI     200
4624.2756   XeI    5000 
4671.2258   XeI   10000
4690.9700   XeI     100 
4697.0208   XeI    1000
4734.1518   XeI     300
4807.0190   XeI     300
4829.7080   XeI     400
4843.2934   XeI     300
4916.5070   XeI     500
4923.1520   XeI     500
5028.2794   XeI     200
5162.7110   XeI      10 
5364.6260   XeI      30 
5392.7950   XeI     100
5439.9230   XeI      30 
5488.5550   XeI      20
5552.3850   XeI      80 
5566.6150   XeI     100 
5579.2800   XeI      40 
5581.7840   XeI      50
5618.8780   XeI      80
5695.7500   XeI     100
5696.4770   XeI      80 
5715.7160   XeI      70  	 
5716.2520   XeI      80
5823.8900   XeI     300
5875.0180   XeI     100
5894.9880   XeI     100 
5934.1720   XeI     100
5974.1520   XeI      40 
6111.7610   XeI      30 
6111.9510   XeI      40
6163.6610   XeI      90
6163.9350   XeI      80
6182.4200   XeI     300
6198.2600   XeI     100
6200.8920   XeI      60
6318.0620   XeI     500
6418.4100   XeI      30  	 
6469.7050   XeI     300
6595.5610   XeI     100
6632.4640   XeI      50 
6668.9200   XeI     150
6678.9720   XeI      25
6728.0080   XeI     200
6777.5700   XeI      50
6778.6000   XeI      40 
6827.3150   XeI     200  	
6846.6130   XeI      60 
6848.8200   XeI      50
6850.1300   XeI      30  	
6872.1070   XeI     100
6882.1550   XeI     300
6925.5300   XeI     100
6976.1820   XeI     100
