3472.5706   NeI    5000 
3520.4714   NeI   10000
3593.5263   NeI    5000
4131.0613   NeI     700 
4383.5470   ArII   1000
4401.0200   ArII   1000
4511.5090   NeI     200
4609.9100   NeI    1500
4628.3113   NeI    1500
4788.9258   NeI   10000
4817.6386   NeI    3000
5116.5032   NeI    1500  
5330.7775   NeI    6000 
5341.0938   NeI   10000 
5400.5616   NeI   20000  	
5764.4188   NeI    7000
5820.1558   NeI    5000
5852.4878   NeI   20000
5881.8950   NeI   10000
5944.8340   NeI    5000
5975.5343   NeI    6000
6029.9968   NeI   10000  
6074.3376   NeI   10000
6096.1630   NeI    3000
6143.0627   NeI   10000
6163.5937   NeI   10000
6217.2812   NeI   10000
6266.4952   NeI   10000
6304.7893   NeI    1000
6334.4276   NeI   10000
6382.9914   NeI   10000
6402.2480   NeI   20000
6506.5277   NeI   15000  
6532.8824   NeI    1000
6598.9528   NeI   10000  
6678.2766   NeI    5000
6717.0430   NeI     700
6929.4672   NeI  100000
7024.0500   NeI   34000 
7032.4128   NeI   85000
